Output File                                                        Name                                       Type        FSH File                                                      Lines
ActorDefinition-ImManifestProvider.json                            ImManifestProvider                         Instance    actors/producer.fsh                                           12 - 21
ActorDefinition-ImReportProvider.json                              ImReportProvider                           Instance    actors/producer.fsh                                           1 - 10
Bundle-ImagingReport-knee-mri-example.json                         ImagingReport-knee-mri-example             Instance    report-examples/knee-mri-sample-report-1.fsh                  27 - 67
Bundle-MHDTransactionBundleKneeMriExample.json                     MHDTransactionBundleKneeMriExample         Instance    report-examples/knee-mri-sample-report-1.fsh                  4 - 22
CodeSystem-Hl7EuDocumentTypes.json                                 Hl7EuDocumentTypes                         CodeSystem  terminologies/ImComposition-terminology.fsh                   24 - 36
CodeSystem-codesystem-diagnostic-report-support-info.json          DiagnosticReportSupportingInfoCodeSystem   CodeSystem  terminologies/DiagnosticReportSupportInfo.fsh                 1 - 11
CodeSystem-codesystem-endpoint-terminology.json                    Hl7EuImagingEndpointTerminologyCodeSystem  CodeSystem  terminologies/EndpointTerminology.fsh                         1 - 11
CodeSystem-codesystem-missing-dicom-terminology.json               MissingDicomTerminology                    CodeSystem  terminologies/MissingDicomTerminology.fsh                     1 - 23
Composition-Composition-knee-mri-exmaple.json                      Composition-knee-mri-exmaple               Instance    report-examples/knee-mri-sample-report-1.fsh                  98 - 318
ConceptMap-EHDSAddressMap.json                                     EHDSAddressMap                             Instance    xtehr-model-maps/ConceptMap_EHDSAddress.fsh                   5 - 87
ConceptMap-EHDSAllergyIntoleranceMap.json                          EHDSAllergyIntoleranceMap                  Instance    xtehr-model-maps/ConceptMap_EHDSAllergyIntolerance.fsh        5 - 125
ConceptMap-EHDSAttachmentMap.json                                  EHDSAttachmentMap                          Instance    xtehr-model-maps/ConceptMap_EHDSAttachment.fsh                5 - 90
ConceptMap-EHDSCarePlanMap.json                                    EHDSCarePlanMap                            Instance    xtehr-model-maps/ConceptMap_EHDSCarePlan.fsh                  5 - 107
ConceptMap-EHDSConditionMap.json                                   EHDSConditionMap                           Instance    xtehr-model-maps/ConceptMap_EHDSCondition.fsh                 5 - 142
ConceptMap-EHDSCoverageMap.json                                    EHDSCoverageMap                            Instance    xtehr-model-maps/ConceptMap_EHDSCoverage.fsh                  5 - 58
ConceptMap-EHDSDeviceMap.json                                      EHDSDeviceMap                              Instance    xtehr-model-maps/ConceptMap_EHDSDevice.fsh                    5 - 83
ConceptMap-EHDSEncounterMap.json                                   EHDSEncounterMap                           Instance    xtehr-model-maps/ConceptMap_EHDSEncounter.fsh                 5 - 173
ConceptMap-EHDSEndpointMap.json                                    EHDSEndpointMap                            Instance    xtehr-model-maps/ConceptMap_EHDSEndpoint.fsh                  5 - 87
ConceptMap-EHDSEpisodeOfCareMap.json                               EHDSEpisodeOfCareMap                       Instance    xtehr-model-maps/ConceptMap_EHDSEpisodeOfCare.fsh             5 - 65
ConceptMap-EHDSHealthProfessionalMap.json                          EHDSHealthProfessionalMap                  Instance    xtehr-model-maps/ConceptMap_EHDSHealthProfessional.fsh        5 - 62
ConceptMap-EHDSHumanNameMap.json                                   EHDSHumanNameMap                           Instance    xtehr-model-maps/ConceptMap_EHDSHumanName.fsh                 5 - 54
