Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.imaging-r5.json	72104	-	0	0	0	0	0	0	18	111	0	0	0	0	0	0	0	1	0	0	202	433	0	1	0	12	0	1
fsh-generated/resources/ActorDefinition-ImManifestProvider.json	323	8	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-ImReportProvider.json	313	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Hl7EuDocumentTypes.json	1391	7	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	14	3254	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codesystem-diagnostic-report-support-info.json	813	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	13	103	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-codesystem-endpoint-terminology.json	937	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	87	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codesystem-missing-dicom-terminology.json	3113	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	32	82	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSAddressMap.json	3394	10	0	0	0	0	0	0	1	3552	0	0	0	0	0	0	0	0	0	0	33	48	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSAllergyIntoleranceMap.json	5389	6	0	0	0	0	0	0	0	5969	0	0	0	0	0	0	0	0	0	0	28	46	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSAttachmentMap.json	3444	4	0	0	1	0	0	0	1	4329	0	0	0	0	0	0	0	0	0	0	21	37	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSCarePlanMap.json	4542	6	0	0	0	0	0	0	1	4366	0	0	0	0	0	0	0	0	0	0	23	38	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSConditionMap.json	6002	5	0	0	0	0	0	0	0	6072	0	0	0	0	0	0	0	0	0	0	40	37	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSCoverageMap.json	2405	6	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	0	0	0	0	23	32	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSDeviceMap.json	3218	4	0	0	0	0	0	0	1	3964	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSEncounterMap.json	7346	5	0	0	0	0	0	0	1	8923	0	0	0	0	0	0	0	0	0	0	26	40	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-EHDSEndpointMap.json	3785	4	0	0	0	0	0	0	0	3803	0	0	0	0	0	0	0	0	0	0	22	26	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSEpisodeOfCareMap.json	2608	4	0	0	0	0	0	0	0	3051	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSHealthProfessionalMap.json	2546	5	0	0	0	0	0	0	1	2716	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSHumanNameMap.json	2121	4	0	0	1	0	0	0	0	2413	0	0	0	0	0	0	0	0	0	0	15	21	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSImagingReportBodyMap.json	20736	6	0	0	0	0	0	0	2	18030	0	0	0	0	0	0	0	1	0	0	61	45	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-EHDSImagingReportHeaderMap.json	14053	6	0	0	0	0	0	0	1	14411	0	0	0	0	0	0	0	0	0	0	48	31	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-EHDSImagingReportMap.json	4569	4	0	0	0	0	0	0	1	3701	0	0	0	0	0	0	0	0	0	0	23	23	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSImagingStudyMap.json	11634	6	0	0	0	0	0	0	1	12791	0	0	0	0	0	0	0	0	0	0	32	30	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSLocationMap.json	3072	7	0	0	0	0	0	0	0	3679	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSMediaMap.json	4269	4	0	0	0	0	0	0	1	5054	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSMedicationAdministrationMap.json	4698	4	0	0	0	0	0	0	0	5315	0	0	0	0	0	0	0	0	0	0	28	23	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSMedicationMap.json	6024	4	0	0	0	0	0	0	1	715	0	0	0	0	0	0	0	0	0	0	25	20	0	0	0	0	0	2
fsh-generated/resources/ConceptMap-EHDSObservationMap.json	15802	7	0	0	0	0	0	0	2	14434	0	0	0	0	0	0	0	0	0	0	56	37	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-EHDSOrganizationMap.json	2036	6	0	0	1	0	0	0	0	2339	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSPatientMap.json	3039	4	0	0	0	0	0	0	0	3398	0	0	0	1	0	0	0	0	0	0	18	20	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSProcedureMap.json	5135	6	0	0	0	0	0	0	1	5259	0	0	0	0	0	0	0	1	0	0	25	23	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSRelatedPersonMap.json	1834	4	0	0	0	0	0	0	0	2009	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSServiceRequestMap.json	4361	4	0	0	0	0	0	0	1	4914	0	0	0	0	0	0	0	0	0	0	22	116	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSSpecimenMap.json	5146	4	0	0	0	0	0	0	0	5269	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-EHDSSubstanceMap.json	2560	4	0	0	0	0	0	0	0	2981	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-EHDSTelecomMap.json	1265	4	0	0	0	0	0	0	1	1391	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AllergyIntoleranceEu.json	2212	4	0	52	0	0	0	0	0	67	0	0	1	0	0	0	0	0	0	0	122	910	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-BodyStructureEu.json	1313	4	0	48	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	91	321	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-CarePlanEu.json	4319	4	0	93	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	122	322	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-CompositionEu.json	2879	5	0	78	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	132	393	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ConditionEu.json	3020	3	0	61	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	106	1903	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-CrossVersionMediaViewExtension.json	1912	5	0	40	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CvServiceRequestSupportingInfoCodeableConcept.json	1660	4	0	38	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	32	108	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-DocumentReferenceEu.json	2105	4	0	67	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	138	341	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EncounterEu.json	6519	5	0	65	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	0	253	718	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-EndpointEu.json	1327	7	0	29	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	68	191	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-IheMhdEntryUUIDIdentifier.json	1462	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	127	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ImAdverseEvent.json	4288	4	0	106	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	194	407	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-ImComposition.json	29661	10	0	267	0	0	0	0	0	746	0	0	0	0	0	0	0	2	0	0	746	1379	0	0	0	34	0	3
fsh-generated/resources/StructureDefinition-ImDiagnosticReport.json	9498	5	0	42	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	226	478	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-ImFinding.json	3004	4	0	42	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	203	555	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-ImGestationalAgeObservation.json	2055	4	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	164	2268	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-ImIheMhdDocumentReference.json	2305	4	0	32	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	152	326	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ImImageIidViewerEndpoint.json	2974	5	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	110	144	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ImImagingDevice.json	4135	4	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	166	218	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ImImagingSelection.json	2063	4	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	115	188	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ImImagingStudy.json	10015	5	0	16	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	259	271	0	1	0	12	1	1
fsh-generated/resources/StructureDefinition-ImImagingStudyManifest.json	5496	5	0	75	0	0	0	0	0	86	0	0	1	0	0	0	0	2	0	0	427	935	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-ImKeyImageDocumentReference.json	10250	6	0	18	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	353	535	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-ImKeyImageImagingSelection.json	3582	4	0	13	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	144	318	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ImManifestIheMhdDocumentReference.json	4627	5	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	194	420	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ImOrder.json	4922	5	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	172	281	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ImPatient.json	1729	3	0	9	1	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	129	208	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-ImProcedure.json	4355	5	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	203	246	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-ImRadiationDoseObservation.json	19822	8	0	61	0	0	0	0	0	60	0	0	1	0	0	0	0	2	0	0	704	1701	0	0	0	36	1	1
fsh-generated/resources/StructureDefinition-ImReport.json	2421	4	0	37	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	207	254	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ImReportIheMhdDocumentReference.json	4406	5	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	189	220	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-ImSrInstanceImagingSelection.json	2716	4	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	121	146	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ImWadoEndpoint.json	7080	6	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	191	195	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-Manifest-EuAddress.json	8164	5	0	19	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	98	140	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-Manifest-EuBodyStructure.json	2913	4	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	96	126	0	0	0	4	0	0
