Output File                                                             Name                                           Type        FSH File                                        Lines
ActorDefinition-ImManifestProvider.json                                 ImManifestProvider                             Instance    actors/producer.fsh                             12 - 21
ActorDefinition-ImReportProvider.json                                   ImReportProvider                               Instance    actors/producer.fsh                             1 - 10
CodeSystem-Hl7EuDocumentTypes.json                                      Hl7EuDocumentTypes                             CodeSystem  terminologies/ImComposition-terminology.fsh     24 - 36
CodeSystem-codesystem-diagnostic-report-support-info.json               DiagnosticReportSupportingInfoCodeSystem       CodeSystem  terminologies/DiagnosticReportSupportInfo.fsh   1 - 11
CodeSystem-codesystem-endpoint-terminology.json                         Hl7EuImagingEndpointTerminologyCodeSystem      CodeSystem  terminologies/EndpointTerminology.fsh           1 - 11
CodeSystem-codesystem-missing-dicom-terminology.json                    MissingDicomTerminology                        CodeSystem  terminologies/MissingDicomTerminology.fsh       1 - 23
StructureDefinition-AllergyIntoleranceEu.json                           AllergyIntoleranceEu                           Profile     profiles-eu/eu-allergyintolerance.fsh           1 - 8
StructureDefinition-BodyStructureEu.json                                BodyStructureEu                                Profile     profiles-eu/eu-bodystructure.fsh                1 - 6
StructureDefinition-CarePlanEu.json                                     CarePlanEu                                     Profile     profiles-eu/eu-careplan.fsh                     1 - 16
StructureDefinition-CompositionEu.json                                  CompositionEu                                  Profile     profiles-eu/eu-composition.fsh                  1 - 18
StructureDefinition-ConditionEu.json                                    ConditionEu                                    Profile     profiles-eu/eu-condition.fsh                    1 - 8
StructureDefinition-CrossVersionMediaViewExtension.json                 CrossVersionMediaViewExtension                 Extension   profiles-eu/eu-documentreference.fsh            8 - 14
StructureDefinition-CvServiceRequestSupportingInfoCodeableConcept.json  CvServiceRequestSupportingInfoCodeableConcept  Extension   profiles/im-order.fsh                           65 - 72
StructureDefinition-DocumentReferenceEu.json                            DocumentReferenceEu                            Profile     profiles-eu/eu-documentreference.fsh            1 - 6
StructureDefinition-EncounterEu.json                                    EncounterEu                                    Profile     profiles-eu/eu-encounter.fsh                    1 - 31
StructureDefinition-EndpointEu.json                                     EndpointEu                                     Profile     profiles-eu/eu-endpoint.fsh                     1 - 8
StructureDefinition-IheMhdEntryUUIDIdentifier.json                      IheMhdEntryUUIDIdentifier                      Profile     profiles/im-ihemhd-documentreference.fsh        200 - 209
StructureDefinition-ImAdverseEvent.json                                 ImAdverseEvent                                 Profile     profiles/im-adverseevent.fsh                    1 - 21
StructureDefinition-ImComposition.json                                  ImComposition                                  Profile     profiles/im-composition.fsh                     1 - 209
StructureDefinition-ImDiagnosticReport.json                             ImDiagnosticReport                             Profile     profiles/im-diagnosticreport.fsh                1 - 87
StructureDefinition-ImFinding.json                                      ImFinding                                      Profile     profiles/im-finding.fsh                         1 - 15
StructureDefinition-ImGestationalAgeObservation.json                    ImGestationalAgeObservation                    Profile     profiles/im-gestational-age-observation.fsh     1 - 11
StructureDefinition-ImIheMhdDocumentReference.json                      ImIheMhdDocumentReference                      Profile     profiles/im-ihemhd-documentreference.fsh        176 - 196
StructureDefinition-ImImageIidViewerEndpoint.json                       ImImageIidViewerEndpoint                       Profile     profiles/im-endpoint-ihe-iid-viewer.fsh         1 - 28
