ANY; ent; 0..*; An abstract type that defines the basic properties common to all data values defined in this specification. Data Value is an abstract type, meaning that no proper value can be just a data value without belonging to any concrete type. Every concrete type is a specialization of this general abstract DataValue type.; ;   ; Undefined 
ANY; ent.id; 0..1; Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.; http://hl7.org/fhirpath/System.String;   ; Unique id for inter-element referencing 
ANY; ent.extension; 0..*; May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.; Extension;   ; Additional content defined by implementations 
Coded; leConcept; 0..*; Coded data element should have at least one code from a specified code system present; ;   ; Coded 
Coded; leConcept.id; 0..1; Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.; http://hl7.org/fhirpath/System.String;   ; Unique id for inter-element referencing 
Coded; leConcept.extension; 0..*; May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.; Extension;   ; Additional content defined by implementations 
Coded; leConcept.coding; 1..*; A reference to a code defined by a terminology system.; Coding;   ; Code defined by a terminology system 
Coded; leConcept.text; 0..1; A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.; string;   ; Plain text representation of the concept 
EHDSAddress; ; 0..*; C.5 - EHDS refined base model for Address structure; ;   ; Address model 
EHDSAddress; use; 0..1; Purpose of the address; CodeableConcept; HL7 AddressUse (preferred)  ; C.5.1 - Use 
EHDSAddress; type; 0..1; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.; CodeableConcept; HL7 AddressType (preferred)  ; C.5.2 - Type 
EHDSAddress; text; 1..1; Text represenation of the address; string;   ; C.5.3 - Text 
EHDSAddress; street; 0..1; Name of the street; string;   ; C.5.4 - Street 
