Profile,Field,Role,EHDS,IG,Issue
CompositionEuImaging,attester[legalAuthenticator].party,Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,attester[legalAuthenticator].time,Producer R5,SHALL:able-to-populate,MAY:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[legalAuthenticator].time,Producer R4,SHALL:able-to-populate,MAY:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator],Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator],Producer R4,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator].party,Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator].party,Producer R4,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator].party,Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,attester[resultValidator].party.extension[deviceAttester],Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator].party.extension[deviceAttester],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,attester[resultValidator].time,Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,attester[resultValidator].time,Producer R4,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,author[author],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,category[diagnostic-service],Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,category[diagnostic-service],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,custodian,Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,date,Consumer,SHALL:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,extension[basedOn],Producer R5,SHALL:able-to-populate,MAY:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,extension[basedOn],Producer R4,SHALL:able-to-populate,MAY:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,extension[basedOn],Consumer,SHALL:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,identifier,Consumer,SHALL:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,language,Producer R5,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,language,Producer R4,SHALL:able-to-populate,SHOULD:able-to-populate,override reduces level below EHDS for: able-to-populate
CompositionEuImaging,section[comparison].entry[comparedstudy],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,section[findings].entry[finding],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
CompositionEuImaging,section[findings].extension[note],Consumer,SHOULD:process,,missing EHDS-sourced obligation (not carried by any IG profile)
