Profile,Field,Card,MS,EHDS Producer,EHDS Consumer,R5 Producer,R5 Consumer,R4 Producer,R4 Consumer,EHDS Description,Description
AccessionNumberIdentifierEuImaging,system,1..1,,,,,,,,,
AccessionNumberIdentifierEuImaging,type,1..1,,,,,,,,,
AccessionNumberIdentifierEuImaging,type.coding,1..*,,,,,,,,,
AccessionNumberIdentifierEuImaging,type.coding[dcm],0..1,,,,,,,,,
AccessionNumberIdentifierEuImaging,type.coding[v2-0203-coding],1..1,,,,,,,,,
AccessionNumberIdentifierEuImaging,value,1..1,,,,,,,,,
AdverseEventEuImaging,contributingFactor,0..*,,,,,,,,,
AdverseEventEuImaging,contributingFactor[allergy],0..*,,,,,,,,,
AdverseEventEuImaging,contributingFactor[allergy].item[x],1..1,,,,,,,,,
AdverseEventEuImaging,contributingFactor[allergy].item[x][itemReference],0..1,,,,,,,,,
AdverseEventEuImaging,subjectMedicalHistory,0..*,,,,,,,,,
AdverseEventEuImaging,subjectMedicalHistory[allergy],0..*,,,,,,,,,
AdverseEventEuImaging,suspectEntity,0..*,,,,,,,,,
AdverseEventEuImaging,suspectEntity[procedure],0..*,,,,,,,,,
AdverseEventEuImaging,suspectEntity[procedure].instance,1..1,,,,,,,,,
AdverseEventEuImaging,suspectEntity[procedure].instance[x],1..1,,,,,,,,,
AdverseEventEuImaging,suspectEntity[procedure].instance[x][instanceReference],0..1,,,,,,,,,
AnatomicalRegionExtension,extension,0..0,,,,,,,,,
AnatomicalRegionExtension,url,1..1,,,,,,,,,
AnatomicalRegionExtension,value[x],0..1,,,,,,,,,
AnatomicalRegionExtension,value[x].coding,1..*,,,,,,,,,
BundleReportEuImaging,entry,4..*,,,,,,,,,
BundleReportEuImaging,entry.fullUrl,1..1,,,,,,,,,
BundleReportEuImaging,entry.link,0..0,,,,,,,,,
BundleReportEuImaging,entry.request,0..0,,,,,,,,,
BundleReportEuImaging,entry.resource,1..1,,,,,,,,,
BundleReportEuImaging,entry.response,0..0,,,,,,,,,
BundleReportEuImaging,entry.search,0..0,,,,,,,,,
BundleReportEuImaging,entry[CompositionEuImaging],1..1,,,,,,,,,
BundleReportEuImaging,entry[CompositionEuImaging].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[DiagnosticReportEuImaging],1..1,,,,,,,,,
BundleReportEuImaging,entry[DiagnosticReportEuImaging].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[ImagingStudy],1..*,,,,,,,,,
BundleReportEuImaging,entry[ImagingStudy].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[Patient],1..1,,,,,,,,,
BundleReportEuImaging,entry[Patient].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[binary],0..*,,,,,,,,,
BundleReportEuImaging,entry[binary].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[findings],0..*,,,,,,,,,
BundleReportEuImaging,entry[findings].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[key-images],0..*,,,,,,,,,
BundleReportEuImaging,entry[key-images].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[organization],0..*,,,,,,,,,
BundleReportEuImaging,entry[organization].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[performed-procedure],0..*,,,,,,,,,
BundleReportEuImaging,entry[performed-procedure].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[practitioner],0..*,,,,,,,,,
BundleReportEuImaging,entry[practitioner].resource,1..1,,,,,,,,,
BundleReportEuImaging,entry[requested-procedure],0..*,,,,,,,,,
BundleReportEuImaging,entry[requested-procedure].resource,1..1,,,,,,,,,
BundleReportEuImaging,identifier,1..1,,,,,,,,,
BundleReportEuImaging,total,0..0,,,,,,,,,
BundleReportEuImaging,type,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry,1..*,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.fullUrl,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.link,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.request,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.resource,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.response,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry.search,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[DiagnosticReportEuImagingMinimalMetadata],1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[DiagnosticReportEuImagingMinimalMetadata].resource,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[ImagingStudy],0..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[ImagingStudy].resource,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[Patient],0..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,entry[Patient].resource,1..1,,,,,,,,,
BundleReportMinimalMetadataEuImaging,link,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,total,0..0,,,,,,,,,
BundleReportMinimalMetadataEuImaging,type,1..1,,,,,,,,,
CompositionEuImaging,attester,0..*,,,,,,,,,
CompositionEuImaging,attester[legalAuthenticator],0..*,,SHALL:able-to-populate,,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingReport.header.legalAuthentication,EHDSImagingReport.header.legalAuthentication
CompositionEuImaging,attester[legalAuthenticator].mode,1..1,,,,,,,,,
CompositionEuImaging,attester[legalAuthenticator].party,0..1,,SHALL:able-to-populate,SHOULD:process,,,SHALL:able-to-populate,,EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x],EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x]
CompositionEuImaging,attester[legalAuthenticator].time,1..1,,SHALL:able-to-populate,,MAY:able-to-populate,,MAY:able-to-populate,,EHDSImagingReport.header.legalAuthentication.datetime,EHDSImagingReport.header.legalAuthentication.datetime
CompositionEuImaging,attester[resultValidator],0..*,,SHALL:able-to-populate,,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingReport.header.attestation,EHDSImagingReport.header.attestation
CompositionEuImaging,attester[resultValidator].mode,1..1,,,,,,,,,
CompositionEuImaging,attester[resultValidator].party,0..1,,SHALL:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingReport.header.attestation.attester[x],EHDSImagingReport.header.attestation.attester[x]
CompositionEuImaging,attester[resultValidator].party.extension[deviceAttester],0..1,,SHALL:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,,,EHDSImagingReport.header.attestation.attester[x],EHDSImagingReport.header.attestation.attester[x]
CompositionEuImaging,attester[resultValidator].time,1..1,,SHALL:able-to-populate,,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingReport.header.attestation.datetime,EHDSImagingReport.header.attestation.datetime
CompositionEuImaging,author,1..*,,,,,,,,,
CompositionEuImaging,author[author],0..*,,SHALL:able-to-populate,SHOULD:process,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingReport.header.author[x],EHDSImagingReport.header.author[x]
CompositionEuImaging,author[authoringDevice],0..*,,,,,,,,,
CompositionEuImaging,author[organization],0..*,,SHALL:able-to-populate,SHOULD:process,,,SHALL:able-to-populate,SHOULD:process,EHDSImagingReport.header.author[x],EHDSImagingReport.header.author[x]
